         28972 function calls (28869 primitive calls) in 0.101 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.101    0.101 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/memory_profiler.py:269(memory_usage)
        1    0.000    0.000    0.077    0.077 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/pyimcom/imDestripe.py:1837(main)
        1    0.000    0.000    0.074    0.074 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/pyimcom/imDestripe.py:693(get_scas)
        1    0.000    0.000    0.060    0.060 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/astropy/io/fits/hdu/hdulist.py:44(fitsopen)
        1    0.000    0.000    0.060    0.060 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/astropy/io/fits/hdu/hdulist.py:465(fromfile)
        1    0.000    0.000    0.060    0.060 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/astropy/io/fits/hdu/hdulist.py:1162(_readfrom)
        1    0.000    0.000    0.058    0.058 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/astropy/io/fits/file.py:150(__init__)
        1    0.000    0.000    0.057    0.057 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/astropy/io/fits/file.py:687(_open_filename)
     1156    0.037    0.000    0.037    0.000 {method 'read' of '_io.BufferedReader' objects}
     1160    0.028    0.000    0.028    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.019    0.019 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/psutil/__init__.py:950(children)
        1    0.002    0.002    0.018    0.018 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/psutil/_pslinux.py:1601(ppid_map)
        1    0.000    0.000    0.013    0.013 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/glob.py:13(glob)
     1447    0.000    0.000    0.012    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/glob.py:60(_iglob)
        1    0.000    0.000    0.009    0.009 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/glob.py:105(_glob1)
     1160    0.008    0.000    0.008    0.000 {built-in method _io.open}
        1    0.000    0.000    0.007    0.007 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/glob.py:176(_listdir)
     1448    0.002    0.000    0.007    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/glob.py:142(_iterdir)
